CollegeID,CourseId,StreamId,Duration,AnnualFees,InternationalFees,Indian Student's Eligibility
1,11,1,4 Years,"1,10,000/-", N.A ,Passed 10+2 examination with Physics and Mathematics as compulsory subjects along with one of the Chemistry /Biotechnology / Biology / Technical Vocational subject.Obtained at least 45% marks (40% in case of candidate belonging to reserved category) in the above subjects taken together.
1,12,1,4 Years,"1,10,000/-", N.A ,Passed 10+2 examination with Physics and Mathematics as compulsory subjects along with one of the Chemistry /Biotechnology / Biology / Technical Vocational subject.Obtained at least 45% marks (40% in case of candidate belonging to reserved category) in the above subjects taken together.
1,13,1,4 Years,"1,10,000/-", N.A ,Passed 10+2 examination with Physics and Mathematics as compulsory subjects along with one of the Chemistry /Biotechnology / Biology / Technical Vocational subject.Obtained at least 45% marks (40% in case of candidate belonging to reserved category) in the above subjects taken together.
1,14,1,4 Years,"1,10,000/-", N.A ,Passed 10+2 examination with Physics and Mathematics as compulsory subjects along with one of the Chemistry /Biotechnology / Biology / Technical Vocational subject.Obtained at least 45% marks (40% in case of candidate belonging to reserved category) in the above subjects taken together.
1,15,1,4 Years,"1,10,000/-", N.A ,Passed 10+2 examination with Physics and Mathematics as compulsory subjects along with one of the Chemistry /Biotechnology / Biology / Technical Vocational subject.Obtained at least 45% marks (40% in case of candidate belonging to reserved category) in the above subjects taken together.
1,16,1,4 Years,"1,10,000/-", N.A ,Passed 10+2 examination with Physics and Mathematics as compulsory subjects along with one of the Chemistry /Biotechnology / Biology / Technical Vocational subject.Obtained at least 45% marks (40% in case of candidate belonging to reserved category) in the above subjects taken together.
1,17,1,3 Years,"1,10,000/-", N.A ,Students have who passed 3 year Diploma in Engineering are eligible for Lateral Entry (join 3rd semester of the programme).
1,18,1,3 Years,"1,10,000/-", N.A ,Students have who passed 3 year Diploma in Engineering are eligible for Lateral Entry (join 3rd semester of the programme).
1,19,1,3 Years,"1,10,000/-", N.A ,Students have who passed 3 year Diploma in Engineering are eligible for Lateral Entry (join 3rd semester of the programme).
1,20,1,3 Years,"1,10,000/-", N.A ,Students have who passed 3 year Diploma in Engineering are eligible for Lateral Entry (join 3rd semester of the programme).
1,21,1,3 Years,"1,10,000/-", N.A ,Students have who passed 3 year Diploma in Engineering are eligible for Lateral Entry (join 3rd semester of the programme).
1,22,1,2 Years (Full Time) /3 Years (Part Time),"75,550/- (Full Time)/50400/- (Part Time)", N.A ,"Bachelor’s degree or equivalent in the relevant field, Obtained at least 50% marks (45% in case of reserved category)"
1,23,1,2 Years (Full Time) /3 Years (Part Time),"75,550/- (Full Time)/50400/- (Part Time)", N.A ,"Bachelor’s degree or equivalent in the relevant field, Obtained at least 50% marks (45% in case of reserved category)"
1,24,1,2 Years (Full Time) /3 Years (Part Time),"75,550/- (Full Time)/50400/- (Part Time)", N.A ,"Bachelor’s degree or equivalent in the relevant field, Obtained at least 50% marks (45% in case of reserved category)"
1,25,1,2 Years (Full Time) /3 Years (Part Time),"75,550/- (Full Time)/50400/- (Part Time)", N.A ,"Bachelor’s degree or equivalent in the relevant field, Obtained at least 50% marks (45% in case of reserved category)"
1,26,1,2 Years (Full Time) /3 Years (Part Time),"75,550/- (Full Time)/50400/- (Part Time)", N.A ,"Bachelor’s degree or equivalent in the relevant field, Obtained at least 50% marks (45% in case of reserved category)"
1,27,1,6 Years,"40,000/-", N.A ,Passed 10+2 examination with Physics and Mathematics as compulsory subjects along with one of the Chemistry /Biotechnology / Biology / Technical Vocational subject.Obtained at least 45% marks (40% in case of candidate belonging to reserved category) in the above subjects taken together.
1,28,1,6 Years,"40,000/-", N.A ,Passed 10+2 examination with Physics and Mathematics as compulsory subjects along with one of the Chemistry /Biotechnology / Biology / Technical Vocational subject.Obtained at least 45% marks (40% in case of candidate belonging to reserved category) in the above subjects taken together.
1,29,1,6 Years,"40,000/-", N.A ,Passed 10+2 examination with Physics and Mathematics as compulsory subjects along with one of the Chemistry /Biotechnology / Biology / Technical Vocational subject.Obtained at least 45% marks (40% in case of candidate belonging to reserved category) in the above subjects taken together.
